"Site_ID","Lake","LID","Monitoring_ID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Distance_5m","Distance_20m","Distance_deep","Calculated_slope","Notes","Size_m2","Perimter_m","Size_km2","Perimter_km","Catchment_size_km2","Mean_depth_m","Max_depth_m","Volume_km3","Elevation_m","Mixing","TLI","Trophic_state","LakeSPI","Shear_stress","Bottom_visible","Water_clarity","Depth_10m","Slope","Riparian_vegetation","Riparian_species","Overhanging_trees","Erosion","Sructure","Bedrock","Boulders","Cobble","Gravel","Sand","Mud","Organic_matter","Turf","Rock_size","Temperature","DO_mgl","DO_percent","Conductivity","Specific_conductivity","pH","Vegetation_nearby","Vegetation_species","Wood_cover","Other","Emergent_Native","Emergent_Non_Native","Submerged_Native","Submerged_Non_Native","Total_Individuals_Bullies","Total_Individuals_Morihana","Total_Individuals_Kōura","Total_Individuals_Common_smelt","Total_Individuals_Eel","Total_Individuals_Kōaro","Total_Individuals_Trout","Total_Individuals_Mosquitofish","Total_Individuals_Catfish","Weighted_CPUE_Bullies","Weighted_CPUE_Morihana","Weighted_CPUE_Kōura","Weighted_CPUE_Common_smelt","Weighted_CPUE_Eel","Weighted_CPUE_Kōaro","Weighted_CPUE_Trout","Weighted_CPUE_Mosquitofish","Weighted_CPUE_Catfish","Weighted_BCUE_Bullies","Weighted_BCUE_Morihana","Weighted_BCUE_Kōura","Weighted_BCUE_Common_smelt","Weighted_BCUE_Eel","Weighted_BCUE_Kōaro","Weighted_BCUE_Trout","Weighted_BCUE_Mosquitofish","Weighted_BCUE_Catfish","Total_Weight_Bullies","Total_Weight_Morihana","Total_Weight_Kōura","Total_Weight_Common_smelt","Total_Weight_Eel","Total_Weight_Kōaro","Total_Weight_Trout","Total_Weight_Mosquitofish","Total_Weight_Catfish","Mean_Length_Bullies","Mean_Length_Morihana","Mean_Length_Kōura","Mean_Length_Common_smelt","Mean_Length_Eel","Mean_Length_Kōaro","Mean_Length_Trout","Mean_Length_Mosquitofish","Mean_Length_Catfish","Mean_Weight_Bullies","Mean_Weight_Morihana","Mean_Weight_Kōura","Mean_Weight_Common_smelt","Mean_Weight_Eel","Mean_Weight_Kōaro","Mean_Weight_Trout","Mean_Weight_Mosquitofish","Mean_Weight_Catfish","Weighted_CPUE_numerator_Bullies","Weighted_CPUE_numerator_Morihana","Weighted_CPUE_numerator_Kōura","Weighted_CPUE_numerator_Common_smelt","Weighted_CPUE_numerator_Eel","Weighted_CPUE_numerator_Kōaro","Weighted_CPUE_numerator_Trout","Weighted_CPUE_numerator_Mosquitofish","Weighted_CPUE_numerator_Catfish","Weighted_BCUE_numerator_Bullies","Weighted_BCUE_numerator_Morihana","Weighted_BCUE_numerator_Kōura","Weighted_BCUE_numerator_Common_smelt","Weighted_BCUE_numerator_Eel","Weighted_BCUE_numerator_Kōaro","Weighted_BCUE_numerator_Trout","Weighted_BCUE_numerator_Mosquitofish","Weighted_BCUE_numerator_Catfish","Total_Effort_sum_Bullies","Total_Effort_sum_Morihana","Total_Effort_sum_Kōura","Total_Effort_sum_Common_smelt","Total_Effort_sum_Eel","Total_Effort_sum_Kōaro","Total_Effort_sum_Trout","Total_Effort_sum_Mosquitofish","Total_Effort_sum_Catfish","Min_Length_Bullies","Min_Length_Morihana","Min_Length_Kōura","Min_Length_Common_smelt","Min_Length_Eel","Min_Length_Kōaro","Min_Length_Trout","Min_Length_Mosquitofish","Min_Length_Catfish","Max_Length_Bullies","Max_Length_Morihana","Max_Length_Kōura","Max_Length_Common_smelt","Max_Length_Eel","Max_Length_Kōaro","Max_Length_Trout","Max_Length_Mosquitofish","Max_Length_Catfish","Min_Weight_Bullies","Min_Weight_Morihana","Min_Weight_Kōura","Min_Weight_Common_smelt","Min_Weight_Eel","Min_Weight_Kōaro","Min_Weight_Trout","Min_Weight_Mosquitofish","Min_Weight_Catfish","Max_Weight_Bullies","Max_Weight_Morihana","Max_Weight_Kōura","Max_Weight_Common_smelt","Max_Weight_Eel","Max_Weight_Kōaro","Max_Weight_Trout","Max_Weight_Mosquitofish","Max_Weight_Catfish","Richness","Abundance","Presence_Kōura","Presence_Kōaro","Presence_Bullies","Presence_Common_smelt","Presence_Trout","Presence_Morihana","Presence_Eel","Presence_Catfish","Presence_Mosquitofish","Dragonfly larvae Small","Diving beetle","NA","Caddishfly","Damselfly larvae","Dragonfly larvae Large","Snails","Invertebrates_Richness","Invertebrates_Abundance","Presence_rocks","Slope_5m","Site_ID_","Monitoring_ID_","Monitoring","Date","Time","Year","Month","Day","Season","Date_Time_Numeric","Habitat_Type"
61,"Rotorua",11133,"61_0",-38.13512,176.2744,NA,"Sandy",2025-02-20 13:50:00,"Sunny",3.4,1,1,675.544467742378,1005.27744611391,663.554783619257,0.00753517286504706,"Close to geotehermal and has cold water spring",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,0,NA,0.6,0.06,50,"Native forest",0,0,0,0,0,0,0,90,10,0,0,NA,25.3,5.25,63.9,445.8,443.009043028918,3.78,0,NA,10,NA,0,0,0,0,28,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3113,0,0,0,0,0,0,0,0,12452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1567.375,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,12452,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,6300,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.00740143726838538,1,"1_0","0",2025-02-20,"13:50:00",2025,"Feb",20,"Summer",1740059400,"Sandy"
62,"Rotorua",11133,"62_0",-38.08189,176.2798,NA,"Rocky",2025-02-20 11:45:00,"Sunny",3.4,1,0,107.152203579757,407.913942363974,104.987389019756,0.0476247675714568,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,1.7,0.17,100,"Native forest",100,0,0,0,40,0,0,60,0,0,0,NA,22.9,7.85,91.3,192.6,201.485511036719,7.03,0,NA,20,NA,0,0,0,0,31,0,1,10,0,0,1,0,0,7.75,0,0.25,2.5,0,0,0.25,0,0,135.25,0,14,6,0,0,4.25,0,0,541,NA,56,24,NA,NA,17,NA,NA,NA,NA,41.79,NA,NA,NA,90,NA,NA,141,NA,56,24,NA,NA,17,NA,NA,31,NA,1,10,NA,NA,1,NA,NA,541,NA,56,24,NA,NA,17,NA,NA,4,NA,4,4,NA,NA,4,NA,NA,NA,NA,41.79,NA,NA,NA,90,NA,NA,NA,NA,41.79,NA,NA,NA,90,NA,NA,23,NA,56,24,NA,NA,17,NA,NA,282,NA,56,24,NA,NA,17,NA,NA,4,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0466625961292371,2,"2_0","0",2025-02-20,"11:45:00",2025,"Feb",20,"Summer",1740051900,"Rocky"
63,"Rotorua",11133,"63_0",-38.03755,176.3071,NA,"Sandy",2025-02-20 11:00:00,"Sunny",3.4,1,1,335.663354943525,1173.15686417623,333.12002096304,0.0150096052033893,"Big rocks around",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,3.4,0.48,0.048,100,"Native forest",100,0,0,0,10,0,0,90,0,0,0,NA,22.4,6.89,79.3,181.7,192.193780410408,7.02,1,"Elodea",3,NA,0,0,0,0,5,1,0,0,1,0,0,0,0,1.25,0.25,0,0,0.25,0,0,0,0,743,43.75,0,0,750,0,0,0,0,2972,175,NA,NA,3000,NA,NA,NA,NA,NA,195,NA,NA,970,NA,NA,NA,NA,249.75,175,NA,NA,3000,NA,NA,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,2972,175,NA,NA,3000,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,195,NA,NA,970,NA,NA,NA,NA,NA,195,NA,NA,970,NA,NA,NA,NA,5,175,NA,NA,3000,NA,NA,NA,NA,613,175,NA,NA,3000,NA,NA,NA,NA,3,2,0,0,1,0,0,1,1,0,0,0,0,0,18,0,0,0,1,18,1,0.0148958768550748,3,"3_0","0",2025-02-20,"11:00:00",2025,"Feb",20,"Summer",1740049200,"Sandy"
64,"Rotorua",11133,"64_0",-38.03521,176.2489,NA,"Sandy",2025-02-20 10:00:00,"Cloudy",3.4,1,1,881.755858102286,4169.54573003321,881.75332127199,0.0056705201776696,"weeds washed to shore",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.5,0.05,50,"Willow",50,0,0,0,0,0,0,100,0,0,0,NA,21.8,8,91,145.7,156.196397941681,7.04,0,NA,3,NA,0,0,0,0,8,0,0,0,1,0,0,0,0,2,0,0,0,0.25,0,0,0,0,934.5,0,0,0,100,0,0,0,0,3738,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,238,NA,NA,NA,400,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,3738,NA,NA,NA,400,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,10,NA,NA,NA,400,NA,NA,NA,NA,611,NA,NA,NA,400,NA,NA,NA,NA,2,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,1,8,0,0.00567050386346284,4,"4_0","0",2025-02-20,"10:00:00",2025,"Feb",20,"Summer",1740045600,"Sandy"
65,"Rotorua",11133,"65_0",-38.10975,176.2401,NA,"Sandy",2025-02-20 14:20:00,"Sunny",3.4,1,1,798.407848020856,2402.91237199327,797.286203279315,0.00627127370251049,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.4,0.04,100,"Willow",100,0,0,10,0,0,0,90,0,0,0,NA,23.9,9.9,117.6,169.6,173.610400245675,7.02,0,NA,20,NA,0,0,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.5,0,0.25,0,0,399,0,0,0,525,0,2.25,0,0,1596,NA,NA,NA,2100,NA,9,NA,NA,NA,NA,NA,NA,675,NA,81,NA,NA,201.75,NA,NA,NA,1050,NA,9,NA,NA,0,NA,NA,NA,2,NA,1,NA,NA,1596,NA,NA,NA,2100,NA,9,NA,NA,4,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,600,NA,81,NA,NA,NA,NA,NA,NA,750,NA,81,NA,NA,6,NA,NA,NA,600,NA,9,NA,NA,600,NA,NA,NA,1500,NA,9,NA,NA,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.00626246349205399,5,"5_0","0",2025-02-20,"14:20:00",2025,"Feb",20,"Summer",1740061200,"Sandy"
66,"Rotorua",11133,"66_0",-38.08148,176.2956,NA,"Rocky",2025-02-20 12:15:00,"Sunny",3.4,1,1,30.9029838843823,1662.55932860984,30.5623995446806,0.163599719737001,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.6,0.06,100,"Native forest",0,0,0,60,0,10,0,30,0,0,0,NA,24,11.05,131.9,215.2,219.816138917262,7.69,1,"Lagarosiphon",0,NA,0,0,0,0,1,0,12,0,0,0,0,3,0,0.25,0,3,0,0,0,0,0.75,0,159.25,0,52.5,0,0,0,0,0,0,637,NA,210,NA,NA,NA,NA,0,NA,NA,NA,27.1391666666667,NA,NA,NA,NA,NA,NA,159.5,NA,17.5,NA,NA,NA,NA,NA,NA,1,NA,12,NA,NA,NA,NA,3,NA,637,NA,210,NA,NA,NA,NA,0,NA,4,NA,4,NA,NA,NA,NA,4,NA,NA,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,38.04,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,395,NA,35,NA,NA,NA,NA,NA,NA,3,15,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.161796673703308,6,"6_0","0",2025-02-20,"12:15:00",2025,"Feb",20,"Summer",1740053700,"Rocky"
67,"Rotorua",11133,"67_0",-38.08288,176.2185,NA,"Sandy",2025-02-20 15:00:00,"Sunny",3.4,1,1,529.912991610287,3907.56729122595,525.663116324665,0.00951179537753958,"close to river mouth nets a little distance from the shore",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.5,0.05,0,NA,0,0,0,0,0,0,0,100,0,0,0,NA,23.1,10.25,120.3,157.1,163.628788667847,7.51,0,NA,0,NA,0,0,0,0,7,0,0,1,0,0,0,0,0,1.75,0,0,0.25,0,0,0,0,0,264,0,0,0,0,0,0,0,0,1056,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.5,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,1056,NA,NA,0,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,529,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00943551126158677,7,"7_0","0",2025-02-20,"15:00:00",2025,"Feb",20,"Summer",1740063600,"Sandy"
68,"Rotorua",11133,"68_0",-38.12141,176.2892,NA,"Rocky",2025-02-20 13:00:00,"Sunny",3.4,1,1,542.819885740034,1760.11424159876,540.424301748185,0.00925198956417358,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.6,0.06,100,"els",100,0,0,0,40,0,0,60,0,0,0,NA,23.4,9.83,115.3,185.2,191.639072847682,7.49,0,NA,0,NA,0,0,0,0,1,0,5,0,0,0,0,0,0,0.25,0,1.25,0,0,0,0,0,0,1000.25,0,13.25,0,0,0,0,0,0,4001,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,24.5916666666667,NA,NA,NA,NA,NA,NA,2000.5,NA,11.3333333333333,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,4001,NA,53,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,NA,NA,27.27,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,4000,NA,18,NA,NA,NA,NA,NA,NA,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0092111584917038,8,"8_0","0",2025-02-20,"13:00:00",2025,"Feb",20,"Summer",1740056400,"Rocky"
69,"Rotorua",11133,"69_0",-38.07818,176.3224,NA,"Sandy",2025-02-20 12:30:00,"Cloudy",3.4,1,1,612.831581113842,3408.42117385179,607.964205515417,0.00822416838794173,"Solid clay parts",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.45,0.045,0,NA,0,0,0,10,0,0,0,60,0,0,30,NA,23.4,7.82,91.8,188.6,195.157284768212,7,0,NA,10,NA,0,0,0,0,4,0,1,2,0,0,0,0,1,1,0,0.25,0.5,0,0,0,0,0.25,561.25,0,11.25,0,0,0,0,0,0.5,2245,NA,45,0,NA,NA,NA,NA,2,NA,NA,38.55,NA,NA,NA,NA,NA,70,226.1,NA,45,NA,NA,NA,NA,NA,2,4,NA,1,2,NA,NA,NA,NA,1,2245,NA,45,0,NA,NA,NA,NA,2,4,NA,4,4,NA,NA,NA,NA,4,NA,NA,38.55,NA,NA,NA,NA,NA,70,NA,NA,38.55,NA,NA,NA,NA,NA,70,4,NA,45,NA,NA,NA,NA,NA,2,605,NA,45,NA,NA,NA,NA,NA,2,4,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00815884845704644,9,"9_0","0",2025-02-20,"12:30:00",2025,"Feb",20,"Summer",1740054600,"Sandy"
70,"Rotorua",11133,"70_0",-38.03394,176.2726,NA,"Sandy",2025-02-20 10:45:00,"Sunny",3.4,1,1,832.450910949518,3362.64448530982,832.390827925049,0.00600679372268409,"Next to rocky habitat",80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.5,0.05,100,"Native forest",0,0,0,0,5,0,0,95,0,0,0,NA,22.4,7.25,83.5,174.8,184.89528242014,7.04,0,NA,0,NA,0,0,0,0,15,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,2130,0,0,0,0,0,0,0,0,8520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2135,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,8520,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00600636017599747,10,"10_0","0",2025-02-20,"10:45:00",2025,"Feb",20,"Summer",1740048300,"Sandy"
71,"Rotorua",11133,"71_0",-38.03695,176.2407,NA,"Sandy",2025-02-20 09:42:00,"Sunny",3.4,1,1,700.069250211094,4451.62589357694,699.19990193821,0.00715103075120549,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.5,0.05,100,"Willow",100,0,0,0,0,0,0,100,0,0,0,NA,21.8,7.61,86.8,149.1,159.841337907376,7.51,0,NA,30,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,579.25,0,0,0,1025,0,0,0,0,2317,NA,NA,NA,4100,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,NA,386.166666666667,NA,NA,NA,1366.66666666667,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,2317,NA,NA,NA,4100,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,850,NA,NA,NA,NA,220,NA,NA,NA,500,NA,NA,NA,NA,535,NA,NA,NA,3000,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00714215057794973,11,"11_0","0",2025-02-20,"09:42:00",2025,"Feb",20,"Summer",1740044520,"Sandy"
72,"Rotorua",11133,"72_0",-38.12632,176.2862,NA,"Sandy",2025-02-20 13:30:00,"Sunny",3.4,1,1,555.806656737179,1510.68334744727,549.720730064047,0.0090955274679517,NA,80632851.4203681,45495.9650385472,80.6328514203681,45.4959650385472,508,11,45,0.802,280,"Polymictic",4.2,"Eutrophic",22.4,NA,1,NA,0.5,0.05,10,"Willow",10,0,0,0,0,0,0,100,0,0,0,NA,23.4,10.19,119.6,176.7,182.843543046358,7.19,0,NA,4,NA,0,0,0,0,5,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,951.75,0,0,0,0,0,0,0,0,3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,953.5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3807,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00899593399861765,12,"12_0","0",2025-02-20,"13:30:00",2025,"Feb",20,"Summer",1740058200,"Sandy"
73,"Rotoiti",54730,"73_0",-38.01677,176.421,NA,"Rocky",2025-01-16 13:05:00,"Cloudy",3.5,1,1,142.695643156613,187.90193049333,187.539175274033,0.106644384943977,NA,33805828.9569732,60736.7219804458,33.8058289569732,60.7367219804458,123.7,31.5,124,1.042,279,"Stratified",4.1,"Eutrophic",24.8,NA,1,NA,0.75,0.075,100,"Native forest",0,0,0,0,0,70,10,20,0,0,0,10.505,20.7,10.42,116.1,144,158.293943058151,9.01,1,"Hornwort",1,NA,0,0,0,0,27,0,24,66,0,0,0,0,0,6.75,0,6,16.5,0,0,0,0,0,420.75,0,124.5,12.25,0,0,0,0,0,1683,NA,498,49,NA,NA,NA,NA,NA,NA,NA,27.7561904761905,NA,NA,NA,NA,NA,NA,214.125,NA,16.7142857142857,24.5,NA,NA,NA,NA,NA,27,NA,24,66,NA,NA,NA,NA,NA,1683,NA,498,49,NA,NA,NA,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,40.02,NA,NA,NA,NA,NA,NA,10,NA,3,19,NA,NA,NA,NA,NA,555,NA,40,30,NA,NA,NA,NA,NA,3,24,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0350396122081481,13,"13_0","0",2025-01-16,"13:05:00",2025,"Jan",16,"Summer",1737032700,"Rocky"
